,Price,Beds,Baths,Sq ft,Street,City,Zip
0,"$3,999",3,3,"2,440",9128 FARLINGTON DR,BLACKLICK, 43004
1,"$1,200",1,1,629,1131 N HIGH ST APT 203,COLUMBUS, 43201
2,"$1,200",2,1,936,987 OREGON AVE,COLUMBUS, 43201
3,"$2,200",3,3,"1,594",5574 SPRING RIVER AVE,DUBLIN, 43016
4,"$1,995",2,3,"1,568",1468 ELMWOOD AVE,COLUMBUS, 43212
5,"$1,100",2,2,"1,938",3474 NUTCREEK CT,COLUMBUS, 43224
6,"$2,950",3,3,"1,886",8272 GRISWOLD DR,NEW ALBANY, 43054
7,"$1,100",2,2,"1,938",3487 NUTCREEK CT,COLUMBUS, 43224
8,"$1,395",2,2,882,2480 RAVENEL DR # B,COLUMBUS, 43209
9,"$2,200",3,2,"2,872",461 E BECK ST,COLUMBUS, 43206
10,"$2,000",3,2,"1,687",2390 INDIANOLA AVE,COLUMBUS, 43202
11,"$1,095",1,1,"2,270",239 WILBER AVE APT 2,COLUMBUS, 43215
12,"$2,400",4,3,"1,556",3919 HOFFMAN VALLEY DR,COLUMBUS, 43219
13,"$2,435",3,3,"1,198",6944 BENNELL DR,REYNOLDSBURG, 43068
14,"$3,500",4,3,"2,739",5970 TETLIN FIELD DR,NEW ALBANY, 43054
15,"$4,250",2,2,"1,921",300 W SPRING ST UNIT 504,COLUMBUS, 43215
16,"$2,250",3,3,"1,547",2386 LIMESTONE WAY,COLUMBUS, 43228
17,"$2,600",3,3,"1,967",6062 WITHERSPOON WAY,WESTERVILLE, 43081
18,"$5,000",3,3,"1,772",1568 STANFORD RD,COLUMBUS, 43212
19,"$6,750",6,7,"6,393",2607 SWISHER CREEK DR,BLACKLICK, 43004
20,"$2,350",3,2,"1,546",93 E LINCOLN AVE,COLUMBUS, 43214
21,"$2,600",3,1,936,6939 KILE RD,PLAIN CITY, 43064
22,"$1,750",3,2,"1,368",3111 OVERTON WAY,REYNOLDSBURG, 43068
23,"$3,000",3,2,"1,890",910 MOHAWK ST,COLUMBUS, 43206
24,"$1,940",3,1,"1,152",180 W NORWICH AVE,COLUMBUS, 43201
25,"$4,815",9,2,"2,540",88 W NORTHWOOD AVE,COLUMBUS, 43201
26,"$200,000",—,—,"3,780",25 W PATTERSON AVE,COLUMBUS, 43202
27,$45,—,—,"11,529",2040 N HIGH ST # 2040,COLUMBUS, 43201
28,"$1,850",4,1,"1,101",1829 RHODA AVE,COLUMBUS, 43212
29,"$150,000",—,—,"1,730",15 E 17TH AVE,COLUMBUS, 43201
30,"$1,940",3,1,"1,152",180 W NORWICH AVE,COLUMBUS, 43201
31,"$4,815",9,2,"2,540",88 W NORTHWOOD AVE,COLUMBUS, 43201
32,"$200,000",—,—,"3,780",25 W PATTERSON AVE,COLUMBUS, 43202
33,$45,—,—,"11,529",2040 N HIGH ST # 2040,COLUMBUS, 43201
34,"$1,850",4,1,"1,101",1829 RHODA AVE,COLUMBUS, 43212
35,"$150,000",—,—,"1,730",15 E 17TH AVE,COLUMBUS, 43201
36,"$2,600",2,2,"1,680",6956 AVERY RD,DUBLIN, 43017
37,"$4,000",3,3,"2,400",1800 CAMBRIDGE BLVD,COLUMBUS, 43212
38,"$2,600",2,4,"1,600",801 S FRONT ST,COLUMBUS, 43206
39,"$2,045",6,2,972,1460 CHELMSFORD SQ N,COLUMBUS, 43229
40,"$1,245",3,1,938,1320 EDSEL CT,COLUMBUS, 43207
41,"$1,395",3,2,"2,673",6632 BIRCHTON ST,DUBLIN, 43017
42,"$2,700",3,4,"2,864",5102 POSTLEWAITE RD,COLUMBUS, 43235
43,"$2,475",4,3,"2,723",1528 MORRISON FARMS DR,BLACKLICK, 43004
44,"$1,800",3,2,"1,222",922 NODDYMILL LN E # 30A,WORTHINGTON, 43085
45,"$2,300",1,1,769,6633 DALE DR # 311,DUBLIN, 43017
46,"$1,550",3,1,"2,464",244 CRESTVIEW RD,COLUMBUS, 43202
47,"$1,500",3,1,"1,440",46 E MAYNARD AVE,COLUMBUS, 43202
48,"$3,695",4,3,"3,166",6785 MARGARUM BND,NEW ALBANY, 43054
49,"$2,495",2,4,"1,373",1517 OAK ST,COLUMBUS, 43205
50,"$2,650",3,3,"1,893",408 COTTONTAIL CT,JOHNSTOWN, 43031
51,"$2,600",3,4,"2,268",1084 BRYDEN RD # 9,COLUMBUS, 43205
52,"$1,975",2,3,"1,426",5123 VININGS BLVD,DUBLIN, 43016
53,"$2,400",3,3,"2,084",9042 FARLINGTON DR,BLACKLICK, 43004
54,"$2,700",2,2,"1,402",828 BOBCAT AVE APT 504,GRANDVIEW HEIGHTS, 43212
55,$9,—,—,,2000 PARSONS AVE,COLUMBUS, 43207
56,"$2,195",3,2,"1,541",316 FINSTOCK WAY,GAHANNA, 43230
57,"$2,950",2,2,"1,181",279 ALEXANDER ALY,COLUMBUS, 43206
58,"$2,450",4,3,"1,525",8340 CRETE LN,BLACKLICK, 43004
59,"$2,500",4,3,"1,981",311 KYBER RUN CIR,JOHNSTOWN, 43031
60,$21.43,—,—,"10,630",6503 E BROAD ST STE 100,COLUMBUS, 43213
61,"$2,400",3,3,"1,748",5571 BOULDER CREST ST,COLUMBUS, 43235
62,$850,1,1,"3,125",414 E 14TH AVE # 414 1/2,COLUMBUS, 43201
63,"$1,100",2,2,"6,452",1890 BALDWIN RD # 1890,REYNOLDSBURG, 43068
64,"$2,400",3,2,"1,294",1842 W 5TH AVE,COLUMBUS, 43212
65,"$1,895",3,3,"1,200",946 S SPRING RD,WESTERVILLE, 43081
66,"$2,250",3,3,"1,371",8577 CLOVER GLADE DR,LEWIS CENTER, 43035
67,"$1,995",2,3,"1,100",1466 ELMWOOD AVE,COLUMBUS, 43212
68,$950,1,1,650,513 E DESHLER AVE # 1/2,COLUMBUS, 43206
69,"$1,375",2,2,870,2960 ASHTON ROW W # 2960AW,GROVE CITY, 43123
70,"$1,249",2,1,896,45 E MARKISON AVE,COLUMBUS, 43207
71,"$1,599",1,1,796,286 E GAY ST # G36,COLUMBUS, 43215
72,"$1,990",3,6,"1,590",3991 SWEET SHADOW AVE,COLUMBUS, 43230
73,"$2,560",3,3,"1,762",1839 SOUTHWESTERN RD,GROVE CITY, 43123
74,"$5,500",4,4,"2,847",1086 EDGEHILL RD,GRANDVIEW, 43212
75,"$2,500",3,2,"4,042",1855 FONTENAY CT,COLUMBUS, 43235
76,"$1,500",2,2,"1,140",2265 HEDGEROW RD # 2265C,COLUMBUS, 43220
77,"$1,250",3,1,925,2059 BANCROFT ST,COLUMBUS, 43219
78,"$1,750",3,2,"1,260",8825 CREVE COEUR LN,POWELL, 43065
79,"$1,855",3,2,"1,210",2172 DRUMLIN DR,GROVE CITY, 43123
80,"$1,125",2,1,960,1064 SCOTT ST,COLUMBUS, 43222
81,$7,—,—,"8,758",1373 E MAIN ST APT 1375,COLUMBUS, 43205
82,"$1,940",3,1,"1,152",180 W NORWICH AVE,COLUMBUS, 43201
83,"$1,850",4,1,"1,101",1829 RHODA AVE,COLUMBUS, 43212
84,"$5,595",4,5,"3,536",4371 OLMSTED RD,NEW ALBANY, 43054
85,"$1,895",3,3,"1,832",7955 ASHENDEN DR,BLACKLICK, 43004
86,$975,1,1,576,3041 LA VISTA DR # 41,COLUMBUS, 43204
87,"$1,100",2,2,"6,452",1898 BALDWIN RD,REYNOLDSBURG, 43068
88,"$1,800",3,3,"1,796",545 CLINE ST,COLUMBUS, 43206
89,"$2,900",3,3,"2,190",653 TIMBERLAKE DR,WESTERVILLE, 43081
90,$900,2,1,"4,941",4677 HILTON AVE APT D,COLUMBUS, 43228
91,"$1,450",2,3,"1,208",4861 FARBER ROW # F,COLUMBUS, 43221
92,$12,—,—,"3,456",7445 MONTGOMERY RD # A,PLAIN CITY, 43064
93,"$2,000",3,2,"1,380",2876 CRANSTON DR,DUBLIN, 43017
94,"$2,600",2,3,"173,548",3451 KELLS WAY,GROVE CITY, 43123
95,"$1,695",3,1,"1,496",472 E GATES ST,COLUMBUS, 43206
96,"$1,500",3,2,"1,180",463 E HINMAN AVE,COLUMBUS, 43207
97,"$2,095",3,3,"1,632",1386 HACKWORTH ST,COLUMBUS, 43207
98,"$2,095",3,2,"1,508",752 HURLOCK LN,GALLOWAY, 43119
99,"$1,850",3,2,"2,314",205 S NAPOLEON AVE,WHITEHALL, 43213
100,"$1,950",3,2,"1,408",848 HUMBOLDT DR W,COLUMBUS, 43230
101,"$2,150",2,2,"1,115",78 E CHESTNUT ST APT 305,COLUMBUS, 43215
102,"$1,850",2,3,"1,800",2833 ACARIE DR,COLUMBUS, 43219
103,"$2,300",2,3,"1,552",7832 SCIOTO CROSSING BLVD,DUBLIN, 43016
104,"$1,895",3,2,"1,405",3567 TAMI PL,COLUMBUS, 43230
105,"$1,510",3,1,"1,257",919 WILTSHIRE RD,COLUMBUS, 43204
106,"$2,560",4,3,"1,710",3175 PINE VALLEY RD,COLUMBUS, 43219
107,"$1,275",2,1,"1,064",87 REEB AVE # 87,COLUMBUS, 43207
108,"$2,400",2,3,"1,720",1021 S WALL ST,COLUMBUS, 43206
109,"$1,197",1,1,"84,087",3691 ALBANY CHASE,COLUMBUS, 43230
110,"$1,975",2,3,"1,616",5580 CRYSTAL FALLS ST # 65,DUBLIN, 43016
111,"$1,300",2,2,984,5636 CYPRESS CHASE,COLUMBUS, 43228
112,"$1,900",1,2,960,260 E 2ND AVE,COLUMBUS, 43201
113,"$2,250",3,2,"1,250",1141 SUMMIT ST,COLUMBUS, 43201
114,$950,2,1,"6,300",1740 PARSONS AVE,COLUMBUS, 43207
115,"$1,200",2,1,"1,560",5646 TAMARACK BLVD,COLUMBUS, 43229
116,"$2,300",4,4,"1,720",6946 GRANITE FALLS DR,BLACKLICK, 43004
117,"$1,950",3,3,"1,559",7954 HICKSON DR,BLACKLICK, 43004
118,"$2,000",3,1,"1,220",5750 WENA WAY,WESTERVILLE, 43081
119,"$2,800",4,3,"2,224",5998 RINGS RD,DUBLIN, 43016
120,"$2,750",—,—,"2,210",2650 W BROAD ST,COLUMBUS, 43204
121,"$2,200",4,3,"1,500",2758 BEULAH RD,COLUMBUS, 43211
122,"$3,750",3,3,"2,706",6993 HAWKSBEARD DR,WESTERVILLE, 43082
123,"$2,395",3,3,"1,940",5817 ADERHOLT RD,DUBLIN, 43016
124,"$2,900",4,3,"2,256",5952 SACHEM CT,DUBLIN, 43017
125,"$2,270",3,2,"3,777",39 S PARKVIEW AVE,COLUMBUS, 43209
126,"$2,095",2,3,"1,546",3028 BREED DR,REYNOLDSBURG, 43068
127,"$1,550",2,1,"2,240",2815 SHERWOOD RD # B,COLUMBUS, 43209
128,"$2,000",3,3,"1,360",3852 LONGTON DR,COLUMBUS, 43221
129,"$1,250",3,2,"1,253",124 BUCKEYE CIR,COLUMBUS, 43217
130,"$1,950",4,3,"2,240",5885 KATELYN LN,CANAL WINCHESTER, 43110
131,"$3,950",4,3,"2,718",7830 WALNUT ST,NEW ALBANY, 43054
132,"$2,550",2,2,"1,290",1145 N HIGH ST UNIT 204,COLUMBUS, 43201
133,"$2,250",4,2,"1,404",2731 CLIME RD,COLUMBUS, 43223
134,"$1,000",2,1,942,318 S BURGESS AVE,COLUMBUS, 43204
135,"$2,895",1,2,"1,120",199 S 5TH ST STE 602,COLUMBUS, 43215
136,"$2,500",3,3,"1,994",5168 VININGS BND,DUBLIN, 43016
137,"$2,650",4,3,"1,620",6069 WEXFORD PARK DR,COLUMBUS, 43228
138,"$2,580",4,3,"2,304",628 KELBURN LN,PICKERINGTON, 43147
139,"$1,950",2,2,"1,507",1772 RIDGECLIFF RD,UPPER ARLINGTON, 43221
140,"$2,395",4,3,"1,900",4709 GRAND STRAND DR,GROVE CITY, 43123
141,"$1,950",3,3,"2,086",5451 BENTONHURST CT,GALLOWAY, 43119
142,"$2,500",2,1,"2,258",44 E PRESCOTT ST,COLUMBUS, 43215
143,"$2,080",4,2,"1,562",1332 COLE ST,COLUMBUS, 43205
144,"$1,600",3,2,"1,446",1630 MANCHESTER AVE,COLUMBUS, 43211
145,$25,—,—,"30,746",1025 E 5TH AVE,COLUMBUS, 43201
146,"$1,305",1,1,"21,612",5220 RIGGINS RUN,COLUMBUS, 43216
147,"$1,459",1,1,"58,572",401 W RICH ST,COLUMBUS, 43215
148,"$1,295",1,1,600,23 W FRANKFORT ST,COLUMBUS, 43206
149,"$2,750",3,2,"1,560",117 E LIVINGSTON AVE,COLUMBUS, 43215
150,"$2,095",3,3,"1,800",3208 KINGSWOOD DR,GROVE CITY, 43123
151,"$1,129",1,1,"95,759",5400 ASHERTON BLVD,DUBLIN, 43017
152,"$2,499",4,3,"2,050",4466 EDGARTON DR,GROVE CITY, 43123
153,"$2,195",3,2,"1,692",4476 EDGARTON DR,GROVE CITY, 43123
154,"$3,000",2,2,"1,660",5285 HIGHPOINTE LAKES DR UNIT 402,COLUMBUS, 43081
155,"$1,025",2,1,"1,457",924 S HARRIS AVE # 926,COLUMBUS, 43204
156,"$1,399",1,1,653,150 E MAIN ST APT 407,COLUMBUS, 43215
157,"$2,100",3,2,"1,213",8731 ARROWTIP LN,LEWIS CENTER, 43035
158,"$1,795",3,2,"1,329",3735 GAIRLOCK DR,COLUMBUS, 43228
159,"$3,200",2,2,"1,024",6640 MOONEY ST # 302,DUBLIN, 43017
160,"$2,200",—,1,775,6640 MOONEY ST # 210,DUBLIN, 43017
161,"$4,200",3,2,"1,456",6640 MOONEY ST # 208,DUBLIN, 43017
162,"$1,450",3,1,"1,500",5366 ADDERLEY AVE,COLUMBUS, 43232
163,"$1,500",3,1,"2,236",668 S 22ND ST,COLUMBUS, 43205
164,"$1,325",2,1,"1,350",846 OAK ST,COLUMBUS, 43205
165,"$2,403",3,3,"1,980",7206 CALUSA DR,REYNOLDSBURG, 43068
166,"$1,100",3,1,"2,580",60 W PARK AVE,COLUMBUS, 43222
167,"$2,500",4,3,"2,126",225 WHITETAIL TRL,JOHNSTOWN, 43031
168,"$1,745",3,1,"1,535",1549 HOPKINS AVE,COLUMBUS, 43223
169,"$1,690",4,2,"1,387",1619 BOSTWICK RD,COLUMBUS, 43227
170,"$2,750",2,2,"2,916",608 CITY PARK AVE,COLUMBUS, 43206
171,"$2,400",4,3,"2,407",11834 KENNINGTON SQ E,PICKERINGTON, 43147
172,"$1,750",2,3,"1,720",1363 EASTWICK WAY,PICKERINGTON, 43147
173,"$3,495",4,4,"2,054",5970 BIG CYPRESS DR,NEW ALBANY, 43054
174,"$1,100",2,1,"1,152",1479 E 23RD AVE,COLUMBUS, 43211
175,"$2,150",5,2,"1,798",492 WYANDOTTE AVE,COLUMBUS, 43202
176,"$1,550",4,3,"2,000",1476 INDIANOLA AVE,COLUMBUS, 43201
177,"$2,795",2,2,"1,256",649 HIGH ST UNIT 302,WORTHINGTON, 43085
178,"$1,945",3,3,"1,868",1971 ARDEN FOREST LN,COLUMBUS, 43223
179,"$2,300",3,3,"1,660",7133 WINTERBEK AVE,NEW ALBANY, 43054
180,"$3,150",4,4,"2,870",2663 CHARING RD # C,COLUMBUS, 43221
181,"$1,300",2,1,"1,219",476 SOUTHWOOD AVE,COLUMBUS, 43207
182,"$1,900",4,2,"1,374",1559 ORSON DR,COLUMBUS, 43207
183,"$4,800",4,3,"3,598",6424 GREENSTONE LOOP,DUBLIN, 43016
184,"$5,500",4,5,"3,263",7535 BELLAIRE AVE,DUBLIN, 43017
185,"$2,250",3,3,"1,828",3322 BEAGLE BLVD,COLUMBUS, 43232
186,"$2,950",2,2,"1,275",367 AUDEN AVE APT 307,COLUMBUS, 43215
187,"$2,600",2,2,"1,499",448 W NATIONWIDE BLVD APT 220,COLUMBUS, 43215
188,"$1,995",2,2,"1,698",106 N HIGH ST APT 302,COLUMBUS, 43215
189,"$2,995",4,3,"2,497",4514 COMMONS PARK DR,NEW ALBANY, 43054
190,"$2,095",4,2,"2,054",1637 S JAMES RD,COLUMBUS, 43227
191,"$2,995",3,3,"2,047",1339 LA ROCHELLE DR # 34-B,COLUMBUS, 43221
192,"$2,250",2,3,"1,552",1852 FISHINGER RD # 3,UPPER ARLINGTON, 43221
193,"$1,585",1,1,776,463 N HIGH ST APT 5A,COLUMBUS, 43215
194,$750,1,1,700,1039 REPUBLIC AVE,COLUMBUS, 43211
195,"$1,100",2,2,"1,260",2273 HUGHEY DR,REYNOLDSBURG, 43068
196,"$2,000",4,1,"1,288",6547 NEW ALBANY CONDIT RD,NEW ALBANY, 43054
197,"$2,540",4,2,"1,935",6099 BEECHCROFT RD,COLUMBUS, 43229
198,"$1,745",2,2,"1,382",8616 RENAA AVE,GALLOWAY, 43119
199,"$4,500",5,3,"3,374",3864 CRISWELL DR,COLUMBUS, 43220
200,"$2,800",3,3,"2,430",299 W 5TH AVE,COLUMBUS, 43201
201,"$2,100",3,1,"1,500",289 S CYPRESS AVE,COLUMBUS, 43223
202,"$2,800",2,2,"1,172",1145 N HIGH ST UNIT 309,COLUMBUS, 43201
203,"$1,950",3,2,"1,520",966 STUDER AVE,COLUMBUS, 43206
204,"$2,000",5,4,"1,910",343 E 12TH AVE,COLUMBUS, 43201
205,"$2,450",4,4,"1,502",414 E OAKLAND AVE # 14,COLUMBUS, 43202
206,$850,2,1,"1,584",3015 PONTIAC ST # A,COLUMBUS, 43224
207,"$1,625",3,2,"1,253",3902 BOYER RIDGE DR,CANAL WINCHESTER, 43110
208,"$2,610",4,3,"2,340",7861 OLDHAM DR,REYNOLDSBURG, 43068
209,"$2,020",1,1,"1,232",44 N HIGH ST UNIT 3A,COLUMBUS, 43215
210,"$1,588",2,2,"1,650",61 E GAY ST,COLUMBUS, 43215
211,"$1,500",—,—,"1,500",1733 LOCKBOURNE RD,COLUMBUS, 43207
212,"$1,200",—,—,"1,482",1787 W 5TH AVE,COLUMBUS, 43212
213,"$1,600",3,2,"1,390",4900 KRESGE DR,COLUMBUS, 43232
214,"$6,300",9,3,"1,792",130 E NORTHWOOD AVE,COLUMBUS, 43201
215,"$4,050",6,2,"3,229",140 E 11TH AVE,COLUMBUS, 43201
216,$643,7,2,"1,932",2143 INDIANA AVE,COLUMBUS, 43201
217,$816,8,3,"2,191",328 E 17TH AVE,COLUMBUS, 43201
218,"$4,815",9,2,"2,540",88 W NORTHWOOD AVE,COLUMBUS, 43201
219,$825,7,3,"3,692",92 E FRAMBES AVE,COLUMBUS, 43201
220,"$1,675",2,1,990,767 N HIGH ST # R-201,COLUMBUS, 43215
221,"$2,590",3,2,"1,969",1431 CARYLAKE CIR,COLUMBUS, 43240
222,"$1,635",2,2,832,2227 TEARDROP AVE # 35D,COLUMBUS, 43235
223,"$1,750",3,3,"1,714",4331 SESTOS DR,COLUMBUS, 43207
224,"$1,900",2,2,"1,158",196 S GRANT AVE APT 306,COLUMBUS, 43215
225,"$2,995",3,3,"2,267",383 KING AVE,COLUMBUS, 43201
226,"$1,450",2,1,"2,288",293 E WHITTIER ST,COLUMBUS, 43206
227,$825,2,1,950,3632 CUSHING DR APT C,COLUMBUS, 43227
228,"$1,500",—,—,"13,829",929933 OAKLAND PARK AVE # 3276,COLUMBUS, 43224
229,"$1,500",—,—,"13,829",929933 OAKLAND PARK AVE # 3278,COLUMBUS, 43224
230,"$2,500",3,4,"1,204",272 S 22ND ST,COLUMBUS, 43205
231,$850,2,1,"4,860",1414 E COLUMBUS ST APT C,COLUMBUS, 43206
232,$10,—,—,"9,239",960 W BROAD ST,COLUMBUS, 43222
233,$10,—,—,"11,583",1268 W BROAD ST,COLUMBUS, 43222
234,"$4,400",4,4,"3,164",8862 GOLDEN LEAF CT,PICKERINGTON, 43147
235,"$5,400",2,3,"2,486",300 W SPRING ST UNIT 503,COLUMBUS, 43215
236,$10,—,—,"10,531",1840 ZOLLINGER RD # 101,UPPER ARLINGTON, 43221
237,"$3,300",—,—,"21,180",6150 CLEVELAND AVE,COLUMBUS, 43231
238,$850,—,—,"11,211",12927 STONECREEK DR,PICKERINGTON, 43147
239,"$4,300",2,1,974,4522 HICKORY CHASE WAY # UNIT,HILLIARD, 43026
240,"$4,300",2,2,968,4522 HICKORY CHASE WAY # UNIT,HILLIARD, 43026
241,"$1,750",1,1,761,65 S WASHINGTON AVE UNIT 311,COLUMBUS, 43215
242,"$3,150",2,3,"1,772",65 S WASHINGTON AVE UNIT 109,COLUMBUS, 43215
243,"$1,000",—,—,529,8142 MORRIS RD # A,HILLIARD, 43026
244,$800,—,—,"4,027",8142 MORRIS RD # B,HILLIARD, 43026
245,"$1,967",2,3,"1,361",710 ZUMSTEIN LN,WESTERVILLE, 43082
246,"$3,300",4,3,"2,328",1616 TRENTWOOD RD,COLUMBUS, 43221
247,"$2,260",1,1,"1,245",44 N HIGH ST UNIT 3B,COLUMBUS, 43215
248,"$3,500",3,2,"1,219",161 SHULL AVE,COLUMBUS, 43230
249,"$2,000",1,1,692,448 W NATIONWIDE BLVD APT 404,COLUMBUS, 43215
250,$14.50,—,—,"10,910",1797 HILL RD N,PICKERINGTON, 43147
251,$17,—,—,"73,247",4977 E DUBLIN GRANVILLE RD,WESTERVILLE, 43081
